name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
支那麺 はしご 銀座四丁目店,35.6697735387241,139.76896498426692,8,0,0,0,1,0,0,15,0,0,0,0,0
麺屋優光 銀座店,35.670200138721015,139.76011788427746,17,0,0,6,0,0,0,0,0,0,0,0,0
長岡食堂 東京ラーメン横丁店,35.68148345851688,139.76960242618603,46,1,6,13,0,1,0,0,0,2,0,0,0
ABCらーめん,35.672703538721414,139.76636158429832,9,1,11,5,3,0,0,4,0,0,0,0,0
京都銀閣寺 ますたに 日本橋本店,35.68102648969653,139.77495638527466,12,0,0,0,1,1,0,0,0,0,0,0,0
風雲児 東京ラーメン横丁店,35.68154174836396,139.76968116322595,2,0,0,2,9,0,0,0,5,0,0,0,3
ラーメン 神田店,35.68850997194328,139.77118435868422,6,0,0,5,6,0,9,0,0,0,0,0,0
つじ田 日本橋八重洲店,35.682488219679406,139.77162937205983,0,3,6,3,29,1,0,0,8,0,0,0,0
九州じゃんがららあめん 銀座店,35.669401724232856,139.76490775503808,1,20,1,1,2,0,1,0,0,1,0,0,0
若葉,35.66558110631535,139.76974752900324,7,7,0,3,0,0,0,0,1,0,0,0,0
久留米らーめん 金丸,35.673207142160365,139.76921071785708,1,24,0,1,4,0,0,0,0,0,0,0,0
わかい,35.68689079164592,139.78055063254217,1,0,48,2,0,0,1,0,0,0,0,0,0
銀座 元楽,35.67014763872321,139.76689488427212,16,0,1,18,0,0,0,0,0,2,0,0,0
四川担々麺 赤い鯨 人形町店,35.68578943871838,139.78297298441885,1,0,1,1,0,0,0,20,0,0,0,0,0
いと井 東京ラーメン横丁店,35.681527419855584,139.76944442096817,0,1,47,2,0,0,0,0,0,0,0,0,1
銀座梵天,35.67346633872165,139.76861578430447,10,0,0,2,8,0,0,0,0,0,0,0,0
旭川ラーメン番外地 八重洲北口店,35.68120748227624,139.76927879290932,8,0,24,15,0,0,1,0,2,0,0,0,0
元祖札幌や,35.682123548155445,139.77229877770043,8,1,36,9,0,0,0,0,0,0,0,0,0
麺処　帯笑,35.67186087744947,139.77507206856797,30,5,11,16,6,0,0,0,8,3,0,0,0
神田らぁめん悠,35.686334439341785,139.77491675413745,2,0,0,4,8,0,0,0,1,0,8,0,0
人形町らーめん いなせ,35.68476373871934,139.78390978440788,5,11,2,1,0,17,0,0,0,0,0,0,0
らーめん紫龍 東銀座店,35.67153880694253,139.768200400986,1,7,4,1,0,1,0,0,0,0,0,0,0
らぁ麺 吉井,35.65978353138014,139.77766436066432,17,0,0,15,0,0,0,0,0,0,0,0,0
麺や 久,35.67789503872162,139.77736108434308,41,2,19,3,0,0,7,0,0,3,5,0,0
昆布の塩らー麺専門店 MANNISH 東日本橋店,35.69158623871507,139.78411998447663,2,0,21,42,4,0,0,0,0,0,0,0,0
SHIBIRE-NOODLES 蝋燭屋 京橋エドグラン店,35.677044338719774,139.76987308433974,0,0,1,0,0,0,0,23,0,0,0,0,0
ど・みそ 八丁堀店,35.67502583872251,139.77446078431615,1,1,53,1,3,0,0,0,1,0,1,0,0
一刀家 茅場町店,35.67894223872093,139.77725278435375,23,10,2,4,1,16,1,0,0,4,0,0,0
つけ麺隅田,35.675813638725764,139.7862718843161,11,2,11,4,44,0,0,3,1,5,4,0,0
京都銀閣寺 ますたにラーメン 室町店,35.68937971989452,139.77249453846616,13,1,4,6,0,0,0,0,0,0,0,0,0
豚山 東京ラーメン横丁店,35.68152462591324,139.76973542525621,2,0,1,3,0,0,18,0,0,0,0,0,0
旭川塩らーめん すがわら 人形町店,35.68570163643141,139.7801796251217,6,2,3,49,0,0,0,0,3,0,0,0,0
麺屋一,35.68072202198326,139.7876625662682,4,5,4,1,8,0,2,0,3,1,0,0,0
Menya Ikuzo Tokyo,35.67845773872101,139.7765720843493,1,0,0,1,1,0,0,0,1,0,0,0,0
麺喰屋 澤 日本橋本店,35.68274813872104,139.78522658438658,8,1,0,7,3,0,0,0,1,0,0,0,2
ヌードルアートギャラリーリョータテヅカ,35.685214283025516,139.78558780952233,2,0,0,24,0,0,0,0,0,0,0,0,0
麺家 大勝軒,35.67392692139526,139.76427080343356,19,1,9,6,2,0,0,0,0,0,0,0,0
めでたい屋,35.676807414666314,139.78617259246815,12,0,0,2,9,0,0,5,4,0,0,0,0
麺酒場まがり 八丁堀店,35.67550343872342,139.77825428431828,14,2,3,10,0,0,0,1,0,0,0,0,0
一風堂 銀座店,35.67069263872303,139.76742778427726,2,25,13,7,0,1,0,2,0,0,5,0,0
ひるがお 人形町店,35.68704553871712,139.78146398443263,13,0,2,41,2,0,0,0,3,0,1,0,1
中華そば はし本,35.68363259078092,139.78296131031195,19,1,0,10,0,0,0,0,0,0,0,0,0
めん処 さんば,35.67979263872007,139.776295384363,23,13,0,3,2,1,13,0,3,4,0,0,2
松田家 日本橋室町店,35.68501744794676,139.77474094163847,8,7,1,8,0,14,0,0,0,0,1,0,0
大島ラーメン 銀座店,35.66802849530123,139.7624757980148,15,0,6,2,0,0,0,0,1,0,0,0,0
めん屋そら 東日本橋分家,35.69067811694376,139.7840929598819,11,1,0,21,3,0,0,0,1,0,3,0,0
芝蘭 担担麺,35.67940803871797,139.76893098436426,1,0,2,1,0,0,0,16,0,0,0,0,0
POPUPラーメン,35.67940803871797,139.76893098436426,8,0,0,3,9,0,0,0,10,0,0,0,0
しなそば家,35.658943438733196,139.77592278415267,15,0,11,0,0,0,0,4,0,0,0,0,0
らーめん 佐々舟,35.686580349691766,139.78471476203094,12,1,10,5,1,0,0,0,0,0,0,0,0
東京スタイル鶏らーめん ど・みそ鶏,35.677767648889684,139.77365636550635,1,0,26,1,8,0,7,0,0,0,0,0,18
町田商店 東京ラーメン横丁店,35.67994012066357,139.76944078225222,9,9,0,10,0,28,0,0,0,0,0,0,0
元祖油堂 東京ラーメン横丁店,35.67994012066357,139.76944078225222,2,1,2,3,0,0,0,0,0,36,0,0,0
つじ田  銀座店,35.671432238722545,139.76738048428479,1,5,1,2,32,0,0,0,13,0,0,0,0
鰯中華そば ささ木,35.6636200387329,139.784318284194,18,0,0,28,0,0,0,0,3,0,0,0,0
游亀亭,35.67989177564672,139.76847586461443,4,0,28,3,0,0,0,3,1,0,0,0,0
日本橋 天馬,35.68646562849593,139.7748619760208,6,0,0,14,0,0,0,0,6,0,0,0,0
竹岡式ラーメン まる竹,35.688671425984914,139.78631703423156,23,0,0,7,0,0,0,0,1,2,5,0,0
ぽっぽっ屋 晴海トリトンスクエア店,35.65764403873583,139.78160958413554,3,2,13,6,1,1,10,0,0,2,0,0,0
ハッスルラーメン ホンマ 浜町店,35.68493523872065,139.78837768440647,7,2,6,3,12,0,0,0,2,0,0,0,0
油ソバ専門店 山ト天 東京スクエアガーデン店,35.676018306532576,139.76878879474458,3,0,0,0,0,0,0,0,0,33,0,0,0
ぶらぶら 京橋店,35.675515438720225,139.76823388432544,3,0,1,3,1,0,0,0,0,37,5,0,0
らーめん豊樹,35.68576524966535,139.78069069085998,18,23,2,3,13,2,0,13,2,0,0,0,0
博多流斗樹 八丁堀店,35.67331094582915,139.7760877576631,1,21,0,0,1,1,0,1,0,0,0,0,0
銀八商店,35.669141098856954,139.759314620436,16,18,0,1,2,26,0,1,0,0,0,0,0
麺屋一 八丁堀店,35.67760379880085,139.7748743274538,3,0,7,2,1,0,1,0,0,4,0,0,0
開々亭,35.67166433872675,139.78106968427753,5,0,0,2,0,0,0,7,0,0,0,0,0
大洋軒 本店,35.68044273872084,139.77999888436696,2,0,0,5,0,0,0,0,0,0,0,3,0
会津 喜多方ラーメン 新川店,35.674768400661584,139.78242660856273,4,2,6,2,4,0,0,0,1,0,0,0,0
がっとん 東京ラーメン横丁店,35.68158545507853,139.76984480166703,1,16,2,6,0,3,0,0,0,1,0,0,0
麺屋 東竜,35.674705538724865,139.78114118430815,6,0,1,5,0,0,0,0,0,0,0,0,0
香家 銀座ファイブ店,35.6726777043822,139.76156788158178,0,0,3,1,0,0,0,21,0,0,0,0,1
桔梗 人形町店,35.68775243871611,139.77971478444098,9,2,2,42,58,0,0,0,2,0,0,0,0
らーめん　八坪屋,35.68771023090656,139.77562407764677,6,1,35,4,0,0,0,0,1,0,0,0,0
東京ラーメン 来々堂,35.681704596408274,139.78203743263978,30,1,9,7,0,0,0,0,0,0,0,0,0
築地家,35.666321331058214,139.77124403730377,19,14,0,7,3,20,0,1,1,0,0,0,0
日本橋 札幌や,35.68017663871828,139.77146088437024,2,0,30,6,0,0,0,0,0,0,0,0,0
