name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
鶏ポタラーメンTHANK お茶の水,35.69388523870728,139.76423278451378,0,1,2,7,8,0,0,1,1,0,0,0,4
長岡生姜ラーメン しょうがの湯,35.65662923871214,139.70522298417885,20,0,0,1,0,0,0,0,0,0,0,0,0
横浜家系らーめん 武源家,35.64781323872981,139.74309638406322,5,3,0,3,0,29,0,0,0,4,0,0,0
博多一瑞亭 三田店,35.64877663872978,139.7449050840717,10,41,0,5,0,0,0,0,0,0,0,0,0
ラーショ マルミャー 池袋店,35.7327922386637,139.70495788494833,8,1,6,4,1,3,0,0,0,0,0,0,0
麺食堂 一真亭,35.71047372372992,139.78102202571947,19,0,1,7,7,0,0,0,0,7,1,0,1
ウミノイロ マグロ卸のマグロ丼とラーメンの店,35.669617938724244,139.76907538426528,6,0,0,7,0,0,0,0,0,0,0,0,2
広州市場 五反田店,35.62585765049851,139.72622519469115,11,0,0,23,0,0,0,1,2,0,0,0,0
らあめん渋英,35.65897763870883,139.6994788842066,1,50,7,0,2,0,1,2,0,0,0,0,0
節骨麺 たいぞう 池袋店,35.73201629933518,139.71053049928736,1,4,0,2,6,2,0,0,9,0,1,0,0
つけそば 黒門,35.694302938686,139.69823258456427,1,0,0,6,13,0,0,0,0,0,0,0,0
三吉,35.66784803872245,139.75991388425382,10,2,0,3,0,0,0,0,1,0,0,0,0
昌平ラーメン 新宿西口店,35.69355877750904,139.69642538581198,4,1,0,2,14,0,0,0,7,0,0,1,2
秋葉原つけ麺 油そば 楽,35.702820438703675,139.77069638459952,2,2,2,2,25,0,0,0,7,24,2,0,1
百年本舗 秋葉原総本店,35.70281643870373,139.77089398459935,17,0,0,7,3,0,0,0,0,0,4,0,0
室壱羅麺,35.68592103871595,139.7755551844254,3,8,15,0,2,0,0,0,11,0,0,0,0
忍八,35.657476441567496,139.7552146646652,2,3,2,2,37,0,0,0,16,1,0,0,0
護摩龍 百人町総本山,35.700115038682085,139.69755298462346,0,1,2,0,7,0,0,10,1,2,1,0,0
らーめん 大 大久保店,35.70020013868163,139.69631318462518,8,0,1,15,8,1,15,0,0,9,0,0,0
らうめん とくや,35.69606293870605,139.76471428453544,16,0,3,16,4,0,0,0,2,0,0,0,0
ミサト,35.701694538684734,139.70914818463157,18,3,19,18,0,1,0,0,0,0,0,0,0
担々麺 ぺんぺん,35.66617988230979,139.75104822107676,0,0,7,2,0,0,0,22,0,0,0,0,0
鶏そば かぐら屋 西新宿店,35.69636933356733,139.69776181208567,4,1,1,16,3,0,0,0,0,0,0,0,6
