name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
麺でる 戸越公園店,35.60870544748782,139.71771030268187,9,1,0,3,1,0,8,0,0,0,0,0,0
つけ麺GAKU,35.627024538735846,139.72057978386903,0,1,0,1,50,0,0,0,0,0,4,0,0
越後つけ麺 維新 大井町店,35.60761673875236,139.73373478366378,3,12,0,3,53,0,0,0,4,0,0,0,0
麺也 時しらず,35.60528494388869,139.73154486676452,8,2,0,0,29,0,0,0,11,0,1,0,2
ラーメン道楽 鮫洲店,35.60424856259294,139.74153602916087,5,11,0,1,0,4,0,0,0,0,0,0,0
大公楼,35.60735533874316,139.70437288368174,7,0,2,6,8,0,0,0,0,0,0,0,0
ぶるんちょ,35.62536669424847,139.71618188472488,0,1,54,2,0,0,0,0,0,0,0,0,1
ラーメン魁力屋 五反田店,35.62491160121207,139.7239715365262,23,1,4,1,0,0,0,0,0,0,0,0,3
奈つやの中華そば,35.62590113873456,139.71431478386208,5,0,0,1,4,0,0,0,4,0,0,0,0
真鯛らーめん 麺魚 五反田店,35.62362913873847,139.7220613838337,2,0,0,7,7,1,0,0,0,2,0,0,0
呑み処 談,35.62671793873758,139.7255384838623,2,0,9,1,29,0,0,0,0,1,0,0,0
春日亭 五反田店,35.62599205628916,139.72483530393316,3,0,2,0,1,0,0,3,0,42,0,0,0
函館らーめん 汐のや,35.61492683873673,139.6992300837618,4,0,9,42,0,0,0,0,1,0,0,0,0
天下一品 五反田店,35.62440203873838,139.7233170838406,0,1,4,1,0,0,0,0,0,0,0,0,4
江戸一,35.60746977790509,139.73542111091555,3,7,0,0,7,11,0,0,3,0,0,0,2
麺や 美風 戸越銀座店,35.615305138742166,139.7170923837531,11,0,8,11,4,0,0,0,3,2,0,0,23
満腹ラーメン富田屋,35.60671583874341,139.7038299836756,6,0,4,5,0,0,0,0,0,0,0,0,0
かごしまめん隼人,35.614205208933015,139.72182804081513,2,11,3,1,0,0,0,0,0,0,0,0,0
らーめん食堂 あの小宮,35.61529453874666,139.73117518374315,18,6,23,11,3,0,0,2,1,0,0,0,0
大森家,35.58901082069373,139.7297957613179,9,6,0,1,0,21,1,0,0,0,0,0,0
麺ロード 大森店,35.58983773876347,139.73319508348456,19,1,4,4,0,0,0,0,1,0,0,0,0
福禄寿,35.629427038736104,139.72618928388937,0,0,4,0,0,0,0,23,0,0,0,0,0
三陽楼,35.60855592381855,139.7122590956217,5,1,0,0,2,0,0,13,0,0,0,0,1
まるきんラーメン 中延店,35.60528685662463,139.71383855940593,2,5,0,4,0,1,0,0,0,0,0,0,0
らーめん バリ男 大森店,35.5893088513821,139.73019710315347,3,13,0,2,2,1,12,0,0,0,0,0,0
TOKYO豚骨BASE MADE by 博多一風堂 大崎店,35.61979913874295,139.72846778379053,7,22,6,1,1,0,0,0,1,0,0,0,0
油そば専門店 油゛油゛ 北品川店,35.61805703874904,139.7441565837619,4,1,0,0,0,0,0,0,1,34,4,0,0
元祖 中華つけ麺 大王 鮫洲店,35.60368463875867,139.74574688361565,6,0,0,1,31,0,0,0,0,0,0,0,0
麺屋お杉,35.62634844411505,139.7269567780033,11,3,0,6,16,0,1,0,5,30,0,0,0
武蔵小山大勝軒,35.62132722081897,139.7056896087587,10,2,1,6,14,1,0,0,4,0,0,0,0
らーめん大森,35.58800573866237,139.7348476102606,18,7,15,3,2,0,9,0,0,1,0,0,0
三田製麺所 五反田店,35.623888538738626,139.72305548383565,0,2,1,2,33,0,0,0,4,0,2,0,0
麺’s 共和国,35.60760304043383,139.7321835958772,9,0,25,7,4,3,2,0,0,0,0,0,0
ラーメン一政,35.60269183874885,139.71286248362867,9,0,1,6,5,0,0,0,0,0,0,0,0
とうりゃんせ,35.60894563874646,139.71783688368836,7,0,1,0,0,0,0,0,0,0,0,0,0
天下一品 目黒店,35.63395243872961,139.71480228394304,1,0,6,2,0,0,0,0,0,0,0,0,0
札幌味噌らーめん 葵葉 荏原中延店,35.61061542147966,139.7120142989068,0,0,0,0,0,0,0,0,0,0,0,0,0
さつまっ子 荏原店,35.617480938739426,139.7127872837781,5,2,4,1,0,2,0,0,0,0,0,0,0
らーめん荏原一政,35.603086438747845,139.7104892836343,2,3,1,5,0,0,0,0,0,0,0,0,0
福本屋,35.605870838756665,139.74376868363913,0,0,0,0,0,0,0,0,0,0,0,0,0
